Name,Genres,Budget(USD)_Inflated,Domestic(USD)_Inflated,Domestic_Percentage,Foreign(USD)_Inflated,Foreign_Percentage,Worldwide(USD)_Inflated,Runtime(mins),Rating,Audience_Score,Critics_Score,plot_summary,Month,Day,Year,Foreign_higher,emotion,emotion_score,drama,comedy,thriller,action,adventure,romance film,horror,fantasy,mystery,crime,indie,biography,family,sci-fi,period piece,animation,teen,film adaptation,musical,history,coming of age,sports,war,Worldwide_profit
17 again,"drama, comedy, romance film, fantasy, teen, coming of age",54525501.06983234,87468539.73518765,0.4600617475949401,102654938.6727565,0.5399382524050599,190123478.4079441,102,pg-13,0.67,0.57,"Mike O'Donnell (Matthew Perry) was a high-school basketball star with a bright future, but he threw it all away to marry his girlfriend and raise their child. Almost 20 years later, Mike's marriage has failed, his kids think he's a loser, and his job is going nowhere. He gets a chance to correct the mistakes of his past and change his life when he is miraculously transformed into a teenager (Zac Efron), but in trying to fix his past, Mike may be jeopardizing his present and future.",Apr,17,2009,1,sadness,0.5844289660453796,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3.4868726499999996
2 fast 2 furious,"thriller, action, adventure, crime, sports",115236667.15114269,192801407.9364934,0.5377768994920393,165714192.34050852,0.4622231005079607,358515600.2770019,107,pg-13,0.5,0.37,"This sequel focuses on ex-police officer Brian O'Conner (Paul Walker), who relocates from Los Angeles to Miami to start over. Becoming involved in the street-racing scene in his new city, Brian befriends car-savvy Tej (Chris ""Ludacris"" Bridges) and Suki (Devon Aoki), but his competitive streak ends when federal agents apprehend him and he must enter into a deal with the FBI. Working with new partner Roman Pearce (Tyrese), Brian begins a dangerous mission to take down a powerful drug dealer.",Jun,6,2003,0,fear,0.4277932345867157,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3.1111243421052626
2 guns,"comedy, thriller, action",77447440.92703468,95999861.13438971,0.5706901605341232,72217269.23376141,0.4293098394658767,168217130.36815113,109,r,0.66,0.64,"For the past year, DEA agent Bobby Trench (Denzel Washington) and U.S. Navy intelligence officer Marcus Stigman (Mark Wahlberg) have been working under cover as members of a narcotics syndicate. The twist: Neither man knows that the other is an undercover agent. When their attempt to infiltrate a Mexican drug cartel and recover millions goes haywire, the men are disavowed by their superiors. Trench and Stigman must go on the run lest they wind up in jail or in a grave.",Aug,2,2013,0,disgust,0.4543845653533935,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.172016639344262
20 feet from stardom,"biography, musical, history",1269630.179131716,6280155.851415181,0.847085677765128,1133681.988440829,0.1529143222348719,7413837.83985601,91,pg-13,0.82,0.99,Filmmaker Morgan Neville shines a long-overdue spotlight on the hit-making contributions of longtime backup singers like Darlene Love and Merry Clayton.,Jun,14,2013,0,neutral,0.7431026697158813,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,5.8393679999999994
2012,"drama, thriller, action, adventure, sci-fi",272627505.3491617,226433728.4867668,0.2158199261213765,822745244.7254707,0.7841800738786235,1049178973.2122374,158,pg-13,0.47,0.4,"Earth's billions of inhabitants are unaware that the planet has an expiration date. With the warnings of an American scientist (Chiwetel Ejiofor), world leaders begin secret preparations for the survival of select members of society. When the global cataclysm finally occurs, failed writer Jackson Curtis (John Cusack) tries to lead his family to safety as the world starts falling apart.",Nov,13,2009,1,fear,0.7641019225120544,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.8483973650000003
20th century women,"drama, comedy",8507444.389621165,6884666.387189707,0.785158187205588,1883842.302368167,0.2148418127944119,8768508.689557875,119,r,0.74,0.88,"In 1979 Santa Barbara, Calif., Dorothea Fields is a determined single mother in her mid-50s who is raising her adolescent son, Jamie, at a moment brimming with cultural change and rebellion. Dorothea enlists the help of two younger women -- Abbie, a free-spirited punk artist living as a boarder in the Fields' home and Julie, a savvy and provocative teenage neighbor -- to help with Jamie's upbringing.",Jan,20,2017,0,neutral,0.6311470866203308,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0306865714285716
21 and over,comedy,16505192.328712309,32607124.7199288,0.6086482705397503,20965893.22525117,0.3913517294602496,53573017.94517997,93,r,0.46,0.26,"Straight-A college student Jeff Chang (Justin Chon) has always done what's been expected of him. But when his two best friends, Miller (Miles Teller) and Casey (Skylar Astin), arrive on campus to surprise him for his 21st birthday, Jeff finally agrees to cut loose. Although he has a crucial med-school interview early the next morning, Jeff lets his pals take him out for one drink. Many drinks later, Jeff has blacked out and is in danger of blowing the most important day of his life.",Mar,1,2013,0,fear,0.2849113047122955,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2458281538461535
21 bridges,"drama, thriller, action, adventure, mystery, crime",36246240.4453417,31347239.226473447,0.5714836978481893,23505137.7433428,0.4285163021518106,54852376.969816245,99,r,0.91,0.55,"After uncovering a massive conspiracy, an embattled NYPD detective joins a citywide manhunt for two young cop killers. As the night unfolds, he soon becomes unsure of who to pursue -- and who's in pursuit of him. When the search intensifies, authorities decide to take extreme measures by closing all of Manhattan's 21 bridges to prevent the suspects from escaping.",Nov,22,2019,0,fear,0.8083626627922058,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5133259696969696
21 grams,"drama, thriller, crime",30325438.723984912,24700791.58612734,0.2695856126842463,66924244.85473894,0.7304143873157536,91625036.44086628,124,r,0.86,0.8,"In a film that plays with the idea of straightforward storytelling, a group of troubled people find that they are linked in unpredictable ways. Paul Rivers (Sean Penn) is an academic dealing with a terminal heart condition, but his life is changed by a car crash that seems unrelated to his ailment. The traffic accident, involving ex-con Jack Jordan (Benicio del Toro) and the husband of Cristina Peck (Naomi Watts), is one that ruins lives but ultimately also resurrects them.",Jan,9,2004,1,neutral,0.4425694346427917,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.02139195
22 jump street,"comedy, action, crime",62518235.42520769,239719092.92261463,0.5786288420445121,174569092.3596768,0.4213711579554877,414288185.2822915,112,r,0.77,0.84,"Although they made their way through high school successfully, an investigation at a local college brings big changes for undercover officers Jenko (Channing Tatum) and Schmidt (Jonah Hill). When Jenko meets a kindred spirit on the football team and Schmidt infiltrates the bohemian art-major scene, both men begin to question their partnership. Not only do they have to crack the case, but now the two overgrown adolescents must learn how to behave like adults.",Jun,13,2014,0,neutral,0.510699987411499,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.62667752
25th hour,"drama, crime",7311559.372799369,21259731.82478528,0.5162698085461573,19919766.71039692,0.4837301914538426,41179498.53518219,135,r,0.85,0.79,"In New York City in the days following the September 11, 2001, terrorist attacks, Monty Brogan (Edward Norton) steels himself for a lengthy jail term. Brogan is a convicted drug dealer about to start a seven-year prison sentence, and his final hours of freedom are devoted to hanging out with his closest buddies (Philip Seymour Hoffman, Barry Pepper) and trying to prepare his girlfriend, Naturelle Riviera (Rosario Dawson), for his extended absence.",Jan,10,2003,0,sadness,0.431308388710022,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.632108888888889
27 dresses,"comedy, romance film",41187524.68299087,105451944.4164102,0.4722171974532826,117860431.72135796,0.5277828025467173,223312376.1377681,111,pg-13,0.57,0.4,"Perennial bridesmaid Jane always puts the needs of others before her own, making her the go-to gal whenever someone needs help with wedding plans. So when Jane's younger sister Tess snags the man Jane secretly loves, Jane finds herself questioning her role as a wedding junkie for the first time in her life. Meanwhile, a handsome reporter sees Jane's unusual story as his ticket off the bridal beat.",Jan,18,2008,1,neutral,0.5492063760757446,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.421845033333333
28 days,"drama, comedy, romance film",77085119.8572393,66634686.57283896,0.5976064063466028,44867944.36480837,0.4023935936533972,111502630.93764731,103,pg-13,0.5,0.33,"The story of Gwen Cummings (Sandra Bullock), a successful New York writer living in the fast lane and everyone's favorite party girl -- until she gets drunk with boyfriend Jasper (Dominic West), borrows her sister's (Elizabeth Perkins) wedding limo and earns herself a stay in court-ordered rehab.",Apr,14,2000,0,neutral,0.6349517703056335,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4464870930232556
28 days later,"thriller, horror, sci-fi",12998327.773865543,73221067.03392375,0.532295673139673,64336066.58326184,0.467704326860327,137557133.6171856,113,r,0.85,0.87,"A group of misguided animal rights activists free a caged chimp infected with the ""Rage"" virus from a medical research lab. When London bike courier Jim (Cillian Murphy) wakes up from a coma a month after, he finds his city all but deserted. On the run from the zombie-like victims of the Rage, Jim stumbles upon a group of survivors, including Selena (Naomie Harris) and cab driver Frank (Brendan Gleeson), and joins them on a perilous journey to what he hopes will be safety.",Jun,27,2003,0,fear,0.5333732962608337,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10.582679250000002
3 days to kill,"drama, thriller, action",35010211.83811631,38383694.571295805,0.5763775147046868,28211017.387518384,0.4236224852953132,66594711.95881419,117,pg-13,0.43,0.27,"Facing a terminal disease, spy Ethan Renner (Kevin Costner) has decided to give up his dangerous, high-stakes life in order to rebuild his relationship with his estranged wife and daughter (Hailee Steinfeld), whom he previously pushed away to keep them out of harm's way. However, in exchange for a potentially lifesaving drug, he must complete one final mission: apprehend one of the world's most ruthless terrorists while looking after his teenage offspring in her mother's absence.",Feb,21,2014,0,neutral,0.4671108722686767,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9021510714285712
30 days of night,"thriller, horror",42073882.70133368,55494048.82030242,0.4929109713269792,57090275.83148075,0.5070890286730207,112584324.65178315,113,r,0.56,0.5,"In the far Northern Hemisphere, the small town of Barrow, Alaska, experiences a solid month of darkness every year. Though most of the residents head south for the winter, some townspeople remain behind. However, those that stay regret their decision when, one year, hungry vampires descend on Barrow to feed. Sheriff Eben (Josh Hartnett), his wife (Melissa George) and a dwindling band of survivors must try to last until dawn breaks over Barrow's monthlong twilight.",Oct,19,2007,1,sadness,0.6238056421279907,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.675872
30 minutes or less,"comedy, action, adventure, crime",37283838.17038338,49339732.356917314,0.9044885120886916,5210139.418656098,0.0955114879113083,54549871.77557341,83,r,0.4,0.45,"Nick (Jesse Eisenberg) is a pizza deliverer who lives a fairly ordinary, boring life -- until he crosses paths with two aspiring criminal masterminds (Danny McBride, Nick Swardson), who kidnap him, strap a bomb to his chest and force him to rob a bank for them. Nick doesn't get much time to pull off the difficult task, so he enlists the aid of Chet (Aziz Ansari), his estranged pal. As time ticks away, Nick and Chet face many obstacles, not the least of which is their volatile relationship.",Aug,12,2011,0,neutral,0.5191745758056641,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.463097
300,"drama, action, adventure, fantasy, film adaptation, war",85957708.47612336,301732958.7879751,0.4618058171438187,351643303.67258936,0.5381941828561814,653376262.4605644,117,r,0.89,0.61,"In 480 B.C. a state of war exists between Persia, led by King Xerxes (Rodrigo Santoro), and Greece. At the Battle of Thermopylae, Leonidas (Gerard Butler), king of the Greek city state of Sparta, leads his badly outnumbered warriors against the massive Persian army. Though certain death awaits the Spartans, their sacrifice inspires all of Greece to unite against their common enemy.",Mar,9,2007,1,neutral,0.6597111225128174,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,7.60113635
3000 miles to graceland,"comedy, thriller, action, adventure, crime",107421967.86354272,27288574.02500186,0.8413360986208729,5146233.027415813,0.158663901379127,32434807.05241768,125,r,0.46,0.15,"It's International Elvis Week in Las Vegas, where the strip is flooded by a sea of King wannabes decked out in jumpsuits and sideburns. But five of the impersonators swaggering into the Riviera Hotel are toting heavy weaponry in their guitar cases. It's the heist of a lifetime, orchestrated by ex-con Michael (Kurt Russell) and his cunning former cellmate, Murphy (Kevin Costner). The crooked Elvises steal away with $3.2 million, leaving the hotel in ruins and a high body count in their wake.",Feb,23,2001,0,anger,0.3589890003204345,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30193830645161296
300: rise of an empire,action,137540117.93545693,133263934.40097284,0.31571785916935,288834247.6644595,0.68428214083065,422098182.0654324,102,r,0.51,0.45,"While King Leonidas and his 300 Spartans have their date with destiny at Thermopylae, another battle against the Persians is brewing, this time at sea. Themistocles (Sullivan Stapleton), a Greek general, sees the threat posed by the God-King Xerxes of Persia. He knows that he must unite all of Greece if he is to stand any chance of repelling the Persian invasion. Even if he accomplishes his mission, Themistocles must still face Artemisia (Eva Green), the ruthless leader of the Persian armada.",Mar,7,2014,1,anger,0.4574485719203949,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0689095545454546
31,horror,1823023.797775964,947753.611987768,0.84512537294346,173681.90791251312,0.15487462705654,1121435.5199002812,102,r,0.36,0.48,"Five carnival workers are kidnapped the night before Halloween and held hostage in a large compound. At the mercy of their captors, they are forced to play a twisted game of life or death called 31. For the next 12 hours, they must fight for their lives against an endless parade of homicidal maniacs.",Oct,21,2016,0,anger,0.3447899520397186,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6151513333333333
3:10 to yuma,"drama, thriller, action, adventure, crime",67318212.3221339,75181703.19214159,0.7532041787603451,24634130.69752001,0.2467958212396548,99815833.8896616,122,r,0.86,0.89,"Outlaw Ben Wade (Russell Crowe) terrorizes 1800s Arizona, especially the Southern Railroad, until he is finally captured. Wade must be brought to trial, so Dan Evans (Christian Bale), the owner of a drought-stricken ranch, volunteers to escort him to the train. Along the trail, a grudging respect forms between the men, but danger looms at every turn, and the criminal's men are in pursuit.",Sep,7,2007,0,fear,0.7573001980781555,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4827463541666663
40 days and 40 nights,"drama, comedy, romance film",27621446.51946428,61662152.95545344,0.3988681512655623,92930668.65691794,0.6011318487344377,154592821.6123714,96,r,0.43,0.4,"Matt Sullivan's (Josh Hartnett) last big relationship ended in disaster and ever since his heart's been aching and his commitment's been lacking. Then came Lent, that time of year when everybody gives something up. That's when Matt decides to go where no man's gone before and make a vow: No sex. Whatsoever. For 40 straight days. At first he has everything under control. That is until the woman of his dreams, Erica (Shannyn Sossamon), walks into his life.",Mar,1,2002,1,sadness,0.8612627387046814,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5968401764705895
42,"drama, biography, sports",39358535.5530832,120640530.0523238,0.9748592348792074,3111213.5184001205,0.0251407651207925,123751743.57072392,128,pg-13,0.85,0.8,"In 1946, Branch Rickey (Harrison Ford), legendary manager of the Brooklyn Dodgers, defies major league baseball's notorious color barrier by signing Jackie Robinson (Chadwick Boseman) to the team. The heroic act puts both Rickey and Robinson in the firing line of the public, the press and other players. Facing open racism from all sides, Robinson demonstrates true courage and admirable restraint by not reacting in kind and lets his undeniable talent silence the critics for him.",Apr,12,2013,0,neutral,0.52064448595047,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3.1442161612903226
47 meters down,"thriller, horror, mystery",6180559.608205321,51668534.91464874,0.7123518860056682,20863785.03801804,0.2876481139943318,72532319.95266677,89,pg-13,0.35,0.53,"Young sisters Kate and Lisa and travel to Mexico for a vacation filled with sun, fun and adventure. Lisa needs some extra persuasion when Kate suggests that they go diving in shark-infested waters. Safe in their protective cage, the thrill-seeking siblings come face to face with a group of majestic great whites. Their worst fears soon become a reality when the cage breaks away from their boat, sending them plummeting to the ocean floor with a dwindling supply of oxygen.",Jun,16,2017,0,fear,0.807496190071106,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.735558679245282
47 meters down: uncaged,"drama, thriller, adventure, horror",13180451.071033344,24450725.270597182,0.4678373462144105,27812578.35072462,0.5321626537855896,52263303.6213218,90,pg-13,0.68,0.45,"Four teenage divers discover that the sunken ruins of a Mayan city are also a hunting ground for deadly great white sharks. With their air supply steadily dwindling, the frightened girls must navigate the underwater labyrinth of claustrophobic caves and eerie tunnels in search of a way out of their watery hell.",Aug,16,2019,1,fear,0.9862598180770874,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9652135833333335
47 ronin,"drama, action, fantasy",222185281.3480503,48706156.00618597,0.2527441343738841,144003186.69268355,0.7472558656261158,192709342.6988696,128,pg-13,0.48,0.16,An outcast joins the 47 Ronin and together they embark on a quest that challenges them with a series of trials.,Dec,25,2013,1,neutral,0.8997184038162231,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8673362228571431
5 days of war,"drama, action, war",15978787.787307164,23274.435977861824,0.0551485435912968,398757.30706049496,0.9448514564087032,422031.7430383568,113,r,0.36,0.35,"A journalist (Rupert Friend), his cameraman (Richard Coyle) and a Georgia native (Emmanuelle Chriqui) are caught in the crossfire of the Russia-Georgia conflict.",Aug,19,2011,1,anger,0.5302829742431641,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.026412
50 first dates,"comedy, romance film",112115084.03840576,180741585.03242373,0.6093744522170143,115860257.02848516,0.3906255477829857,296601842.0609089,99,pg-13,0.65,0.45,"Playboy vet Henry sets his heart on romancing Lucy, but she has short-term memory loss; she can't remember anything that happened the day before. So every morning, Henry has to woo her again. Her friends and family are very protective, and Henry must convince them that he's in it for love.",Feb,13,2004,0,neutral,0.8341993093490601,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6455123733333332
50/50,comedy,10652525.191538109,46626259.88810888,0.847135417706198,8413653.346022619,0.152864582293802,55039913.23413149,100,r,0.88,0.93,"Adam Lerner has always tried to take good care of his health, so it comes as a cruel surprise when he learns that he has malignant tumors along his spine. His doctor gives him a 50/50 chance of survival, but Adam tries to remain upbeat, though his mother and his friend Kyle, react badly to the news. Adam starts seeing a therapist, but their relationship threatens to cross the boundary between doctor and patient.",Sep,30,2011,0,fear,0.7633388042449951,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.166841875
8 mile,"drama, musical, coming of age",66616429.841060914,189695809.88651583,0.4749925802052855,209670028.2167484,0.5250074197947144,399365838.1032642,110,r,0.54,0.76,"The people of Detroit know 8 Mile as the city limit, a border, a boundary. It is also a psychological dividing line that separates Jimmy Smith Jr. (Eminem) from where and who he wants to be. A provocative fictional examination of a critical week in Jimmy's life.",Nov,8,2002,1,neutral,0.7470372915267944,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,5.995005121951219
88 minutes,"drama, thriller, mystery, crime",42073882.70133368,24141246.38137594,0.5178854420223226,22473785.481858738,0.4821145579776775,46615031.86323468,108,r,0.44,0.05,"Famed forensic psychiatrist Dr. Jack Gramm (Al Pacino) enjoys a reputation as one of the most sought-after profilers around. His expert testimony has resulted in the conviction of many criminals, including serial killer Jon Forster. On the eve of Forster's execution, one of Gramm's students is murdered in a vicious copycat crime, and Gramm himself receives an ominous message informing him that he has less than 90 minutes to live.",Apr,18,2008,0,fear,0.77626633644104,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1079327333333333
